index,value,name
15794,46.13273215293884,MALAT1
14031,46.05560056865215,PCDH15
18428,42.22911533713341,PCDH9
10961,35.68770210444927,LHFPL3
15278,32.52569907903671,LRRC4C
11485,21.960217773914337,CSMD1
3087,20.78909023106098,NRXN1
5211,14.614210672676563,PTPRG
4257,14.158392168581486,ERBB4
6025,10.837569987401366,SOX2-OT
6796,10.289285022765398,MAPK10
27714,9.800965275615454,DMD
11054,9.125897139310837,PTPRZ1
19140,8.702464500442147,NPAS3
26479,8.531303592026234,NCAM2
2059,7.410558797419071,TNR
3855,7.385668095201254,GALNT13
16549,7.276532627642155,NTM
27699,7.246458448469639,IL1RAPL1
25746,7.06513537093997,PLCB1
228,6.837637597694993,KAZN
5695,6.347107049077749,TMEM108
6135,5.770069360733032,FGF12
7226,5.638555083423853,SPOCK3
7411,5.62717904150486,CTNND2
4560,5.608510496094823,CHL1
28113,5.53910107165575,XIST
5505,5.485000239685178,LSAMP
998,5.2557400949299335,NEGR1
27128,5.1811823938041925,SEZ6L
28116,4.929891690611839,FTX
14214,4.794401858001947,KCNMA1
7460,4.777759145945311,PDZD2
7209,4.658633030951023,MARCH1
16297,4.622897759079933,NCAM1
11947,4.605756828561425,NKAIN3
5497,4.490670050494373,ZBTB20
14066,4.291777281090617,JMJD1C
13235,4.217545049265027,ASTN2
16229,4.092176806181669,GRIA4
959,3.9810766810551286,PDE4B
16859,3.8465288653969765,SOX5
6114,3.6991410050541162,LPP
7185,3.502048885449767,GRIA2
4719,3.476953836157918,KCNH8
7627,3.452994477003813,ZSWIM6
3226,3.4069128073751926,ZNF638
4812,3.3075193278491497,CLASP2
21242,3.2525709848850965,XYLT1
11636,3.177004045806825,SGCZ
985,2.9986039577051997,LRRC7
7425,2.9392248801887035,FBXL7
4572,2.8898007180541754,LRRN1
11007,2.8557063564658165,DOCK4
18676,2.798591538798064,FGF14
26498,2.7800749130547047,APP
3031,2.7607069788500667,SLC8A1
17521,2.6985380477271974,ANKS1B
6835,2.611942402087152,GRID2
19213,2.579831190407276,MDGA2
5426,2.463214224204421,ALCAM
6429,2.4499400516870082,KCNIP4
3669,2.41318547911942,DPP10
5265,2.3525782860815525,FOXP1
3111,2.313686450943351,CCDC88A
4703,2.292545275762677,ANKRD28
12527,2.234431688208133,PTPRD
2633,2.2229212252423167,RGS7
901,2.214264476671815,USP24
132,2.116996234282851,RERE
7441,2.088357038795948,CDH18
5320,2.0806835977127776,CADM2
15182,2.070980900898576,NAV2
123,2.0681242682039738,CAMTA1
11660,2.0680473260581493,PSD3
23773,2.0593930035829544,TCF4
5990,2.0426061637699604,NAALADL2
17427,1.989717472344637,PPFIA2
1010,1.9708074554800987,SLC44A5
23821,1.943516243249178,PHLPP1
19198,1.931371495127678,LRFN5
10609,1.911386352032423,AUTS2
820,1.821066975593567,FAF1
2156,1.7912550028413534,BRINP3
14276,1.7786680180579424,CCSER2
7449,1.7471164632588625,CDH10
6774,1.727203629910946,SCD5
21199,1.7215854655951262,SHISA9
11042,1.699955916032195,CTTNBP2
924,1.6851909151300788,NFIA
25862,1.6650966200977564,CST3
6972,1.6522889453917742,ANK2
6809,1.5979884266853333,SPARCL1
9406,1.5669048577547073,DST
20189,1.555016460828483,TJP1
5837,1.5444181375205517,MED12L
4249,1.4976264890283346,UNC80
17416,1.4843204747885466,PPP1R12A
16932,1.4763025548309088,CNTN1
18111,1.4761680997908115,N4BP2L2
7220,1.4710766077041626,CPE
7414,1.4655348137021065,TRIO
12192,1.4432248938828707,UBR5
15663,1.4303320161998272,FTH1
13744,1.4212381541728973,PLXDC2
17412,1.3893658225424588,NAV3
4397,1.380777731537819,DNER
9444,1.372890666127205,COL9A1
12331,1.3698499938473105,FAM49B
5261,1.3623246494680643,MITF
14558,1.3549127243459225,SORCS1
14265,1.3345243303338066,NRG3
3696,1.3344513531774282,CLASP1
27746,1.3187841475009918,TSPAN7
12536,1.3144221361726522,NFIB
23693,1.3009315263479948,RIT2
3230,1.29462846275419,EXOC6B
12216,1.285743821412325,OXR1
9769,1.2832010593265295,PTPRK
18288,1.272962223738432,ITM2B
6501,1.2182345790788531,APBB2
22450,1.217806245200336,WSB1
11005,1.1963071301579475,IMMP2L
22036,1.1905743964016438,PAFAH1B1
809,1.1851296569220722,SPATA6
19394,1.1829013200476766,GPHN
3786,1.1802060762420297,TMEM163
4830,1.1769008971750736,LRRFIP2
17694,1.153836553916335,MED13L
15264,1.0942563018761575,SLC1A2
17838,1.0805430780164897,TMEM132C
7145,1.0780121572315693,SH3D19
20255,1.066153783351183,MEIS2
7307,1.0579652562737465,SORBS2
7880,1.0267792269587517,FBXL17
26307,0.9852543380111456,PHACTR3
10174,0.9607171323150396,PHF14
18501,0.9600560702383518,SLAIN1
8683,0.9592431336641312,CDKAL1
23206,0.9579018261283636,BPTF
19330,0.9578317748382688,RTN1
10714,0.9566052597947419,CACNA2D1
23623,0.9418878853321075,ZNF521
19119,0.9366527842357755,PRKD1
18585,0.9355275363195688,GPC6
28151,0.9304041927680373,ATRX
10391,0.930247463285923,AMPH
6833,0.9290571715682745,CCSER1
16106,0.928029817994684,GRM5
16318,0.9220381719060242,CADM1
19565,0.9030098998919129,FOXN3
21772,0.9029980134218931,NFAT5
1959,0.8927273750305176,DCAF6
6542,0.8917360231280327,FRYL
9719,0.885320819914341,CEP85L
14566,0.8835467100143433,ADD3
18617,0.879149941727519,MBNL2
7871,0.8733365293592215,PAM
905,0.8630171054974198,PPAP2B
988,0.8561044242233038,SRSF11
14281,0.8491778378374875,GRID1
15118,0.8423186056315899,FAR1
22541,0.8412467548623681,NF1
11208,0.8402862679213285,BRAF
13146,0.8321301434189081,ZNF462
5678,0.8288800492882729,ATP2C1
22564,0.8254266735166311,ZNF207
9423,0.8248004009947181,KHDRBS2
7789,0.8235598909668624,EDIL3
14366,0.8209175802767277,EXOC6
11632,0.8147221943363547,DLC1
18206,0.8144937213510275,VWA8
7495,0.8037473959848285,NIPBL
28115,0.7964191855862737,JPX
26595,0.7960403673350811,OLIG2
334,0.7937188660725951,EIF4G3
4603,0.7851347867399454,SETD5
3953,0.7679080097004771,UBR3
7156,0.758527877740562,TRIM2
3987,0.7572114635258913,GPR155
10020,0.7554440121166408,PARK2
1555,0.7388784848153591,POGZ
19164,0.7378488453105092,RALGAPA1
10673,0.7374516688287258,HIP1
17533,0.7279712660238147,ANO4
17843,0.7192704081535339,TMEM132D
13104,0.7061108136549592,LPPR1
3069,0.6989567037671804,CALM2
3025,0.6983195235952735,SOS1
2859,0.688069311901927,ATAD2B
3106,0.6875004852190614,RTN4
15979,0.6778380991891026,FCHSD2
2197,0.6728603858500719,MIR181A1HG
13766,0.6727169677615166,PIP4K2A
19283,0.6712448876351118,SAMD4A
4738,0.6705199321731925,UBE2E2
12362,0.6693112277425826,PTK2
7554,0.6652076309546828,PARP8
25824,0.6607449809089303,RIN2
11982,0.6598141044378281,ARFGEF1
4985,0.6511256964877248,SETD2
20585,0.6509373681619763,SMAD3
12189,0.6490379357710481,NCALD
22632,0.6451814603060484,ACACA
17049,0.6412798166275024,DIP2B
10395,0.640280996914953,POU6F2
2186,0.6395610114559531,CRB1
13779,0.6315643656998873,PRTFDC1
17706,0.6315375696867704,KSR2
11910,0.6285761601757258,XKR4
7235,0.6266590040177107,CBR4
7138,0.6263242913410068,LRBA
16233,0.6240446148440242,GUCY1A2
4247,0.6124281929805875,MAP2
1104,0.6110638622194529,ZNF644
6930,0.6084268894046545,SEC24B
3077,0.5992881106212735,FBXO11
19607,0.5810761600732803,UNC79
12971,0.5770777249708772,SHC3
11113,0.5730629973113537,AHCYL2
26013,0.5710425153374672,RBM39
12491,0.570355387404561,SLC1A1
12031,0.5702804559841752,ZFHX4
3078,0.5685404473915696,FOXN2
7636,0.5679227104410529,RNF180
28406,0.5620056353509426,KLHL13
25748,0.5572553006932139,PLCB4
27231,0.5533655127510428,FBXO7
23624,0.5515957418829203,SS18
3911,0.5462170322425663,FIGN
17925,0.5430924408137798,PSPC1
19429,0.542892868630588,SMOC1
558,0.5409696847200394,PHC2
23561,0.5401237402111292,LDLRAD4
10925,0.5400217138230801,CUX1
15106,0.527334975078702,USP47
10259,0.5270935771986842,HNRNPA2B1
8303,0.5241586752235889,GRIA1
3988,0.5235721413046122,WIPF1
12943,0.5203973199240863,NTRK2
2821,0.5200339229777455,NBAS
4154,0.5184711590409279,FAM126B
11194,0.5173112405464053,HIPK2
4877,0.509049721993506,MYRIP
7224,0.5066342856734991,TLL1
7932,0.5028519881889224,SEMA6A
3750,0.5011161472648382,ARHGEF4
27250,0.4995828326791525,RBFOX2
19183,0.4988198932260275,MIPOL1
3191,0.49538286961615086,AAK1
22902,0.4947987925261259,C1QL1
7614,0.4896965103689581,PDE4D
4777,0.48896934278309345,RBMS3
21585,0.48064016504213214,CHD9
23759,0.47946938616223633,DCC
3976,0.47862444492056966,RAPGEF4
5099,0.47759615583345294,DOCK3
25161,0.4769037328660488,FTL
11938,0.476867095567286,CA8
11821,0.47412302251905203,FGFR1
11146,0.47126168943941593,EXOC4
9210,0.47004404198378325,ZFAND3
18030,0.4666270921006799,CDK8
14659,0.463391981087625,ATE1
7801,0.46166388457641006,TMEM161B-AS1
18402,0.46034533623605967,TDRD3
26451,0.4588893707841635,USP25
9514,0.45381947327405214,DOPEY1
7121,0.4534255461767316,ZNF827
14495,0.45233702287077904,BTRC
9211,0.4518734933808446,BTBD9
