0	1	57.492196
0	2	24.800555
0	3	26.187999
0	4	6.590357
0	5	2.688172
0	6	4.682622
0	7	16.909469
0	8	10.839403
0	9	4.682622
0	10	2.428026
0	11	4.509192
0	12	3.555324
0	13	2.341311
0	14	1.907735
0	15	1.040583
0	16	2.081165
1	2	59.313215
1	3	31.304197
1	4	5.202914
1	5	2.688172
1	6	6.850503
1	7	16.909469
1	8	14.654873
1	9	4.682622
1	10	3.902185
1	11	2.514742
1	12	4.249046
1	13	2.861602
1	14	0.867152
1	15	1.907735
1	16	1.647589
2	3	77.610128
2	4	9.712105
2	5	4.335761
2	6	10.752688
2	7	28.616025
2	8	10.145682
2	9	3.988900
2	10	4.509192
2	11	1.040583
2	12	2.341311
2	13	2.948318
2	14	0.520291
2	15	1.214013
2	16	0.607007
3	4	56.885189
3	5	13.614291
3	6	28.442595
3	7	52.896289
3	8	11.619840
3	9	6.763788
3	10	6.590357
3	11	2.341311
3	12	1.560874
3	13	1.907735
3	14	0.693722
3	15	2.167881
3	16	1.907735
4	5	47.693375
4	6	45.959070
4	7	27.748873
4	8	2.167881
4	9	0.953867
4	10	3.988900
4	11	1.994450
4	12	1.387444
4	13	1.300728
4	14	0.433576
4	16	0.953867
5	6	45.091918
5	7	12.053417
5	8	0.867152
5	9	1.300728
5	10	2.688172
5	11	1.387444
5	12	0.173430
5	13	0.260146
5	14	0.173430
5	15	0.607007
5	16	0.433576
6	7	62.521679
6	8	1.907735
6	9	0.867152
6	10	2.774887
6	11	2.167881
6	12	0.867152
6	13	0.173430
6	14	0.607007
6	15	0.693722
6	16	0.693722
7	8	33.211932
7	9	3.208463
7	10	4.769337
7	11	4.682622
7	12	2.514742
7	13	1.560874
7	14	1.040583
7	15	1.040583
7	16	2.514742
8	9	37.981270
8	10	13.614291
8	11	5.463059
8	12	6.330212
8	13	5.376344
8	14	1.907735
8	15	3.381894
8	16	4.682622
9	10	36.073535
9	11	7.544225
9	12	6.937218
9	13	3.468609
9	14	5.983351
9	15	3.121748
9	16	3.121748
10	11	36.853972
10	12	12.486993
10	13	8.758238
10	14	4.335761
10	15	5.289629
10	16	3.121748
11	12	36.940687
11	13	12.573708
11	14	4.856053
11	15	3.035033
11	16	5.549775
12	13	55.411030
12	14	13.093999
12	15	4.595907
12	16	6.243496
13	14	41.103018
13	15	11.272980
13	16	10.405827
14	15	31.217482
14	16	12.053417
15	16	34.339230
